signal,window_fraction,n_runs,spearman_r,spearman_ci_low,spearman_ci_high,p_value,p_value_bonferroni
policy_entropy,0.1,96,-0.8168096066569168,-0.8691801981615297,-0.7349360179858921,0.0,0.0
effective_rank,0.1,96,0.6470654064924839,0.4894328891769634,0.7557209667732353,0.0,0.0
kl_from_reference,0.1,96,-0.1589533334020718,-0.40057302343964185,0.07067102675062237,0.129,1.0
reward_variance,0.1,96,0.49962187880739944,0.31267547987106964,0.6501711904566874,0.0,0.0
policy_entropy,0.2,96,-0.8400055616080642,-0.8865192890429201,-0.766610948725301,0.0,0.0
effective_rank,0.2,96,0.6242492683475543,0.46464509397157083,0.7398459519367773,0.0,0.0
kl_from_reference,0.2,96,-0.16404016562820053,-0.4009075296781316,0.064834568851497,0.119,1.0
reward_variance,0.2,96,0.44610840378852495,0.23239775368760654,0.6148357765017382,0.0,0.0
policy_entropy,0.3,96,-0.853156718523349,-0.8963932415303333,-0.7848975924772255,0.0,0.0
effective_rank,0.3,96,0.6223840965313072,0.46554996801318116,0.7374596259603484,0.0,0.0
kl_from_reference,0.3,96,-0.1753058033983337,-0.41421064714950756,0.05602892998406385,0.097,1.0
reward_variance,0.3,96,0.4285961360447056,0.21887598770470199,0.6050233548292419,0.0,0.0
