signal,run_id,lead_time_steps,lead_time_fraction_of_breakthrough
policy_entropy,task_a_single_token__two_phase__seed9,3867,1.0
policy_entropy,task_a_single_token__binary_only__seed9,4069,1.0
policy_entropy,task_a_single_token__two_phase__seed15,3240,0.9848024316109423
policy_entropy,task_a_single_token__binary_only__seed15,2263,1.0
policy_entropy,task_a_single_token__two_phase__seed22,2511,0.8776651520447396
policy_entropy,task_a_single_token__binary_only__seed22,2866,1.0
policy_entropy,task_a_single_token__binary_only__seed31,2482,1.0
effective_rank,task_a_single_token__two_phase__seed9,3267,0.8448409619860356
effective_rank,task_a_single_token__binary_only__seed9,3269,0.8033914966822315
effective_rank,task_a_single_token__two_phase__seed15,1690,0.513677811550152
effective_rank,task_a_single_token__binary_only__seed15,2213,0.9779054352629253
effective_rank,task_a_single_token__two_phase__seed22,1661,0.5805662355819643
effective_rank,task_a_single_token__binary_only__seed22,1616,0.5638520586182834
effective_rank,task_a_single_token__binary_only__seed31,2482,1.0
kl_from_reference,task_a_single_token__two_phase__seed9,3867,1.0
kl_from_reference,task_a_single_token__binary_only__seed9,4069,1.0
kl_from_reference,task_a_single_token__two_phase__seed15,3290,1.0
kl_from_reference,task_a_single_token__binary_only__seed15,2263,1.0
kl_from_reference,task_a_single_token__two_phase__seed22,2861,1.0
kl_from_reference,task_a_single_token__binary_only__seed22,2866,1.0
kl_from_reference,task_a_single_token__binary_only__seed31,2182,0.879129734085415
reward_variance,task_a_single_token__two_phase__seed9,3867,1.0
reward_variance,task_a_single_token__binary_only__seed9,4069,1.0
reward_variance,task_a_single_token__two_phase__seed15,3290,1.0
reward_variance,task_a_single_token__binary_only__seed15,2263,1.0
reward_variance,task_a_single_token__two_phase__seed22,2861,1.0
reward_variance,task_a_single_token__binary_only__seed22,2826,0.9860432658757851
reward_variance,task_a_single_token__binary_only__seed31,2482,1.0
