signal,window_fraction,n_runs,n_breakthrough,n_stall,auroc,auroc_ci_low,auroc_ci_high,p_value,p_value_bonferroni
policy_entropy,0.1,96,7.0,89.0,0.21508828250401285,0.09509855450485029,0.34028147163120565,0.007,0.084
effective_rank,0.1,96,7.0,89.0,0.7303370786516854,0.5084440676930596,0.8898463301404477,0.0385,0.46199999999999997
kl_from_reference,0.1,96,7.0,89.0,0.2969502407704655,0.16483516483516486,0.4460260052447552,0.0835,1.0
reward_variance,0.1,96,7.0,89.0,0.7078651685393258,0.44614130434782606,0.9744437825839034,0.073,0.8759999999999999
baseline__raw_reward,0.1,96,,,0.6853932584269662,,,,
baseline__elapsed_steps,0.1,96,,,0.5,,,,
policy_entropy,0.2,96,7.0,89.0,0.17656500802568215,0.07022664685649599,0.30107526881720426,0.001,0.012
effective_rank,0.2,96,7.0,89.0,0.6966292134831461,0.4644334027980446,0.8659012252115699,0.0795,0.954
kl_from_reference,0.2,96,7.0,89.0,0.2696629213483146,0.13888134057971016,0.41219461953611,0.0465,0.558
reward_variance,0.2,96,7.0,89.0,0.6484751203852328,0.323021978021978,0.9918478260869564,0.191,1.0
baseline__raw_reward,0.2,96,,,0.739967897271268,,,,
baseline__elapsed_steps,0.2,96,,,0.5,,,,
policy_entropy,0.3,96,7.0,89.0,0.15730337078651685,0.05,0.2835395103411375,0.0,0.0
effective_rank,0.3,96,7.0,89.0,0.6853932584269663,0.467389760375494,0.8545951704545451,0.0965,1.0
kl_from_reference,0.3,96,7.0,89.0,0.2391653290529695,0.11701694033302498,0.38462357954545445,0.0225,0.27
reward_variance,0.3,96,7.0,89.0,0.6340288924558587,0.29604806957748137,0.9892501715854496,0.243,1.0
baseline__raw_reward,0.3,96,,,0.8683788121990369,,,,
baseline__elapsed_steps,0.3,96,,,0.5,,,,
