run_id,signal_value,broke_through,predicted_breakthrough,correct
task_a_single_token__two_phase__seed1,19.729675081041123,0,1,False
task_a_single_token__binary_only__seed1,19.558794445461697,0,1,False
task_a_single_token__two_phase__seed3,23.144988165961372,0,1,False
task_a_single_token__binary_only__seed3,21.996266682942707,0,1,False
task_a_single_token__binary_only__seed4,20.14152823554145,0,1,False
task_a_single_token__two_phase__seed6,20.16371684604221,0,1,False
task_a_single_token__binary_only__seed6,20.622963375515408,0,1,False
task_a_single_token__two_phase__seed16,19.172032674153645,0,1,False
task_a_single_token__binary_only__seed16,20.50497669643826,0,1,False
task_a_single_token__two_phase__seed17,20.39963616265191,0,1,False
task_a_single_token__binary_only__seed17,20.14061631096734,0,1,False
task_a_single_token__two_phase__seed18,23.898488998413086,0,1,False
task_a_single_token__binary_only__seed18,25.333382500542534,0,1,False
task_a_single_token__two_phase__seed20,20.09908019171821,0,1,False
task_a_single_token__binary_only__seed20,24.949558469984268,0,1,False
task_a_single_token__two_phase__seed24,25.60725318060981,0,1,False
task_a_single_token__binary_only__seed24,26.3457277086046,0,1,False
task_a_single_token__binary_only__seed25,21.020816167195637,0,1,False
task_a_single_token__two_phase__seed26,20.386146969265408,0,1,False
task_a_single_token__binary_only__seed26,19.78240712483724,0,1,False
task_a_single_token__two_phase__seed28,23.889314227634006,0,1,False
task_a_single_token__binary_only__seed28,25.390662723117405,0,1,False
task_a_single_token__binary_only__seed31,14.321850034925673,1,0,False
task_a_single_token__binary_only__seed32,19.323765224880642,0,1,False
task_a_single_token__binary_only__seed35,19.411760330200195,0,1,False
task_a_single_token__two_phase__seed36,25.209584554036457,0,1,False
task_a_single_token__binary_only__seed36,25.80793677435981,0,1,False
task_a_single_token__two_phase__seed43,20.394616656833225,0,1,False
task_a_single_token__binary_only__seed43,19.163986417982315,0,1,False
