signal,window_fraction,n_runs,n_breakthrough,n_stall,auroc,auroc_ci_low,auroc_ci_high,p_value,metric,spearman_r,spearman_ci_low,spearman_ci_high,p_value_bonferroni
policy_entropy,0.1,96,7.0,89.0,0.2584269662921348,0.13857332594737942,0.38588191699604735,0.031,auroc_given_raw_reward,,,,0.744
policy_entropy,0.1,96,,,,,,0.0,spearman_r_given_raw_reward,-0.793193140241743,-0.850566845245754,-0.7072950322113442,0.0
effective_rank,0.1,96,7.0,89.0,0.695024077046549,0.5055496453900709,0.852345426511791,0.087,auroc_given_raw_reward,,,,1.0
effective_rank,0.1,96,,,,,,0.0,spearman_r_given_raw_reward,0.6303738143478134,0.4776550362458734,0.7508301531412844,0.0
kl_from_reference,0.1,96,7.0,89.0,0.11235955056179775,0.007401433691756264,0.3114573016631942,0.0,auroc_given_raw_reward,,,,0.0
kl_from_reference,0.1,96,,,,,,0.0,spearman_r_given_raw_reward,-0.43126841857416526,-0.6276211215307127,-0.20834495628031674,0.0
reward_variance,0.1,96,7.0,89.0,0.7367576243980738,0.5027173913043479,0.9685582729468597,0.036,auroc_given_raw_reward,,,,0.8639999999999999
reward_variance,0.1,96,,,,,,0.0,spearman_r_given_raw_reward,0.527531631621426,0.3504368046983316,0.6699876117896757,0.0
policy_entropy,0.2,96,7.0,89.0,0.1813804173354735,0.07222222222222222,0.3071300642292487,0.0025,auroc_given_raw_reward,,,,0.06
policy_entropy,0.2,96,,,,,,0.0,spearman_r_given_raw_reward,-0.8386965501152069,-0.8847996285742348,-0.7646686554038828,0.0
effective_rank,0.2,96,7.0,89.0,0.6404494382022472,0.4623232658684034,0.8085176525602057,0.2215,auroc_given_raw_reward,,,,1.0
effective_rank,0.2,96,,,,,,0.0,spearman_r_given_raw_reward,0.6077950617067699,0.452889278589366,0.733435168562887,0.0
kl_from_reference,0.2,96,7.0,89.0,0.06260032102728734,0.0,0.18459069020866772,0.0,auroc_given_raw_reward,,,,0.0
kl_from_reference,0.2,96,,,,,,0.0,spearman_r_given_raw_reward,-0.46995547326461656,-0.6632417373027182,-0.24932721913643419,0.0
reward_variance,0.2,96,7.0,89.0,0.6709470304975923,0.35818681318681317,0.9918478260869565,0.1335,auroc_given_raw_reward,,,,1.0
reward_variance,0.2,96,,,,,,0.0,spearman_r_given_raw_reward,0.47356373292368387,0.27679138727169705,0.637616724193576,0.0
policy_entropy,0.3,96,7.0,89.0,0.15088282504012843,0.04657242063492063,0.2745919642674206,0.0,auroc_given_raw_reward,,,,0.0
policy_entropy,0.3,96,,,,,,0.0,spearman_r_given_raw_reward,-0.8567649781824163,-0.90035498053404,-0.7896361292974298,0.0
effective_rank,0.3,96,7.0,89.0,0.5955056179775281,0.4184211338932806,0.7648153235653234,0.419,auroc_given_raw_reward,,,,1.0
effective_rank,0.3,96,,,,,,0.0,spearman_r_given_raw_reward,0.5911577291058447,0.4255459377147022,0.7231064027412003,0.0
kl_from_reference,0.3,96,7.0,89.0,0.033707865168539325,0.0,0.11494538597178681,0.0,auroc_given_raw_reward,,,,0.0
kl_from_reference,0.3,96,,,,,,0.0,spearman_r_given_raw_reward,-0.4679410877030696,-0.6560717704339929,-0.2451982586726057,0.0
reward_variance,0.3,96,7.0,89.0,0.6468699839486356,0.31663043478260866,0.9947039396773437,0.201,auroc_given_raw_reward,,,,1.0
reward_variance,0.3,96,,,,,,0.0,spearman_r_given_raw_reward,0.4485161710422258,0.2464591459711382,0.6224438902822262,0.0
